recordID	sequenceID	alignment_name	alignment_displayName	m49_country.id	m49_country.display_name	gb_place_sampled	collection_year	earliest_collection_year	latest_collection_year	gb_length	gb_create_date	gb_update_date	host	gb_pubmed_id	isolate	country_edit	country_update	place_edit	place_update	collection_year_edit	collection_year_update	earliest_collection_edit	earliest_collection_update	latest_collection_edit	latest_collection_update	host_edit	host_update	host_common_edit	Lab_construct	Vaccine	pubmedID_edit	pubmed_update	Notes
207	EU549783	AL_Asian_SEA1b	Asian SEA1b	CHN	China	-	-	-	2008	11924	31-Mar-08	31-Mar-08	-	-	BD06	China	unchanged	Hebei	filled in	2006	filled in	2006	filled in	2006	updated	Canis lupus familiaris	unchanged		no	no	-	unchanged	Found by googling isolate name
309	MG458321	AL_Asian_SEA1b	Asian SEA1b	CHN	China	-	-	-	2018	11924	31-Jan-18	31-Jan-18	Canis familiaris	29357361	ChDg	China	unchanged	-	unchanged	-	unchanged	-	unchanged	2018	unchanged	Canis familiaris	unchanged		no	no	29357361	unchanged	Unknown
101	EF556198	AL_Asian_SEA1b	Asian SEA1b	CHN	China	-	-	-	2007	2067	20-May-07	17-Jun-10	Homo sapiens	-	Zhejiang Wz0(H)	China	unchanged	Zhejiang	filled in	2007	filled in	2007	filled in	2007	unchanged	Homo sapiens	unchanged		no	no	-	unchanged	Published but not on pubmed
103	EF643518	AL_Asian_SEA1b	Asian SEA1b	CHN	China	-	-	-	2007	2064	30-Jun-07	19-Apr-11	buffalo	21375773	Hubei/Wuhan/070308	China	unchanged	Hubei	filled in	2007	filled in	2007	filled in	2007	unchanged	buffalo	unchanged	Buffalo 	no	no	21375773	unchanged	Place from isolate ID
1	AB115921	AL_Asian_SEA1b	Asian SEA1b	IDN	Indonesia	Sumatra	-	-	2003	1575	30-Jul-03	30-Jul-03	-	-	SN01-23	Indonesia	unchanged	Sumatra	unchanged	2001	filled in	2001	filled in	2001	updated	Canis lupus familiaris	filled in		no	no	-	unchanged	Not published in study, but found in paper 21350634
38	AB428308	AL_Asian_SEA1b	Asian SEA1b	CHN	China	Guangxi	2005	2005	2005	1575	02-Dec-09	02-Dec-09	-	-	CHdg11	China	unchanged	Guangxi	unchanged	2005	unchanged	2005	unchanged	2005	unchanged	Canis lupus familiaris	filled in		no	no	-	unchanged	
39	AB428312	AL_Asian_SEA1b	Asian SEA1b	CHN	China	Guangxi	2003	2003	2003	1575	02-Dec-09	02-Dec-09	-	-	CHdg6	China	unchanged	Guangxi	unchanged	2003	unchanged	2003	unchanged	2003	unchanged	Canis lupus familiaris	filled in		no	no	-	unchanged	
147	EU008924	AL_Asian_SEA1b	Asian SEA1b	CHN	China	-	-	-	2007	1575	24-Jul-07	08-Apr-09	Canis familiaris	-	HNDB11	China	unchanged	Hunan	filled in	2007	filled in	2007	filled in	2007	unchanged	Canis familiaris	unchanged		no	no	-	unchanged	
148	EU008925	AL_Asian_SEA1b	Asian SEA1b	CHN	China	-	-	-	2007	1575	24-Jul-07	08-Apr-09	Canis familiaris	-	HNDB12	China	unchanged	-	unchanged	-	unchanged	-	unchanged	2007	unchanged	Canis familiaris	unchanged		no	no	-	unchanged	
149	EU008926	AL_Asian_SEA1b	Asian SEA1b	CHN	China	-	-	-	2007	1575	24-Jul-07	08-Apr-09	Canis familiaris	-	HNDB18	China	unchanged	-	unchanged	-	unchanged	-	unchanged	2007	unchanged	Canis familiaris	unchanged		no	no	-	unchanged	
150	EU008927	AL_Asian_SEA1b	Asian SEA1b	CHN	China	-	-	-	2007	1575	24-Jul-07	08-Apr-09	Canis familiaris	-	HNDB28	China	unchanged	Hunan	filled in	-	unchanged	-	unchanged	2007	unchanged	Canis familiaris	unchanged		no	no	-	unchanged	Found by googling seq ID
151	EU008928	AL_Asian_SEA1b	Asian SEA1b	CHN	China	-	-	-	2007	1575	24-Jul-07	08-Apr-09	Canis familiaris	-	HNDB33	China	unchanged	-	unchanged	-	unchanged	-	unchanged	2007	unchanged	Canis familiaris	unchanged		no	no	-	unchanged	
153	EU253477	AL_Asian_SEA1b	Asian SEA1b	CHN	China	-	-	-	2007	1575	20-Nov-07	13-Dec-07	Canis familiaris	-	Yunnan_Md06	China	unchanged	Yunnan	filled in	2006	filled in	2006	filled in	2006	updated	Canis familiaris	unchanged		no	no	-	unchanged	Found by googling seq ID
175	EU267742	AL_Asian_SEA1b	Asian SEA1b	CHN	China	-	-	-	2008	1575	07-Dec-08	05-Jan-09	Canis familiaris	19041424	Guangxi Cx14	China	unchanged	Guangxi	filled in	2003	filled in	2003	filled in	2003	updated	Canis familiaris	unchanged		no	no	19041424	unchanged	
176	EU267743	AL_Asian_SEA1b	Asian SEA1b	CHN	China	-	-	-	2008	1575	07-Dec-08	05-Jan-09	Canis familiaris	19041424	Guangxi Cx25	China	unchanged	Guangxi	filled in	2003	filled in	2003	filled in	2003	updated	Canis familiaris	unchanged		no	no	19041424	unchanged	
177	EU267744	AL_Asian_SEA1b	Asian SEA1b	CHN	China	-	-	-	2008	1575	07-Dec-08	05-Jan-09	Canis familiaris	19041424	Guangxi Yl66	China	unchanged	Guangxi	filled in	2003	filled in	2003	filled in	2003	updated	Canis familiaris	unchanged		no	no	19041424	unchanged	
178	EU267748	AL_Asian_SEA1b	Asian SEA1b	CHN	China	-	-	-	2008	1575	07-Dec-08	05-Jan-09	Canis familiaris	19041424	Guizhou Al48	China	unchanged	Guizhou	filled in	2004	filled in	2004	filled in	2004	updated	Canis familiaris	unchanged		no	no	19041424	unchanged	
179	EU267749	AL_Asian_SEA1b	Asian SEA1b	CHN	China	-	-	-	2008	1575	07-Dec-08	05-Jan-09	Canis familiaris	19041424	Guizhou Qx1	China	unchanged	Guizhou	filled in	2004	filled in	2004	filled in	2004	updated	Canis familiaris	unchanged		no	no	19041424	unchanged	
180	EU267750	AL_Asian_SEA1b	Asian SEA1b	CHN	China	-	-	-	2008	1575	07-Dec-08	05-Jan-09	Canis familiaris	19041424	Guizhou Qx2	China	unchanged	Guizhou	filled in	2004	filled in	2004	filled in	2004	updated	Canis familiaris	unchanged		no	no	19041424	unchanged	
181	EU267751	AL_Asian_SEA1b	Asian SEA1b	CHN	China	-	-	-	2008	1575	07-Dec-08	05-Jan-09	Canis familiaris	19041424	Guizhou Qx5	China	unchanged	Guizhou	filled in	2004	filled in	2004	filled in	2004	updated	Canis familiaris	unchanged		no	no	19041424	unchanged	
182	EU267752	AL_Asian_SEA1b	Asian SEA1b	CHN	China	-	-	-	2008	1575	07-Dec-08	05-Jan-09	Homo sapiens	19041424	Hebei0(H)	China	unchanged	Hebei	filled in	2007	filled in	2007	filled in	2007	updated	Homo sapiens	unchanged		no	no	19041424	unchanged	
183	EU267753	AL_Asian_SEA1b	Asian SEA1b	CHN	China	-	-	-	2008	1575	07-Dec-08	05-Jan-09	Canis familiaris	19041424	Henan Hb10	China	unchanged	Henan	filled in	2005	filled in	2005	filled in	2005	updated	Canis familiaris	unchanged		no	no	19041424	unchanged	
