ID,N,gap,Length_before,Length_after,Year,cluster,previous,Country
EU038082,0,3,1353,1350,2006,NA,Africa-2,Nigeria
EU038083,0,3,1353,1350,2006,NA,Africa-2,Nigeria
EU038084,0,3,1353,1350,2006,NA,Africa-2,Nigeria
EU038085,0,3,1353,1350,2006,NA,Africa-2,Nigeria
EU038086,0,3,1353,1350,2006,NA,Africa-2,Nigeria
EU038087,0,3,1353,1350,2006,NA,Africa-2,Nigeria
EU038088,0,3,1353,1350,2006,NA,Africa-2,Nigeria
EU038089,0,3,1353,1350,2005,NA,Africa-2,Nigeria
EU038090,0,3,1353,1350,2005,NA,Africa-2,Nigeria
EU038091,0,3,1353,1350,2006,NA,Africa-2,Nigeria
EU038092,0,3,1353,1350,2006,NA,Africa-2,Nigeria
EU038093,0,3,1353,1350,2005,NA,Africa-2,Nigeria
EU038094,0,3,1353,1350,2006,NA,Africa-2,Nigeria
EU038095,0,3,1353,1350,2006,NA,Africa-2,Nigeria
EU038096,0,3,1353,1350,2006,NA,Africa-2,Nigeria
EU038097,0,3,1353,1350,2006,NA,Africa-2,Nigeria
EU038098,0,3,1353,1350,2006,NA,Africa-2,Nigeria
EU038099,0,3,1353,1350,2006,NA,Africa-2,Nigeria
EU038100,0,3,1353,1350,2006,NA,Africa-2,Nigeria
EU038101,0,3,1353,1350,2006,NA,Africa-2,Nigeria
EU038102,0,3,1353,1350,2006,NA,Africa-2,Nigeria
EU038103,0,3,1353,1350,2006,NA,Africa-2,Nigeria
EU038104,0,3,1353,1350,2006,NA,Africa-2,Nigeria
EU038105,0,3,1353,1350,2006,NA,Africa-2,Nigeria
EU038106,0,3,1353,1350,2006,NA,Africa-2,Nigeria
EU038108,0,3,1353,1350,2006,NA,Africa-2,Nigeria
EU038109,1,3,1353,1349,2006,NA,Africa-2,Nigeria
EU478492,0,3,1353,1350,2007,Africa-2_A1.1,Africa-2,Burkina Faso
EU478493,0,3,1353,1350,2007,Africa-2_A1,Africa-2,Burkina Faso
EU478494,0,3,1353,1350,2007,Africa-2_A1,Africa-2,Burkina Faso
EU478495,0,3,1353,1350,2007,Africa-2_A1,Africa-2,Burkina Faso
EU478496,0,3,1353,1350,2007,Africa-2_A1,Africa-2,Burkina Faso
EU478497,0,3,1353,1350,2007,Africa-2_A1,Africa-2,Burkina Faso
EU478498,0,3,1353,1350,2007,Africa-2_A1,Africa-2,Burkina Faso
EU478499,0,3,1353,1350,2007,Africa-2_A1,Africa-2,Burkina Faso
EU478500,0,3,1353,1350,2007,Africa-2_A1,Africa-2,Burkina Faso
EU478501,0,3,1353,1350,2007,Africa-2_A1,Africa-2,Burkina Faso
EU478502,0,3,1353,1350,2007,Africa-2_A1.1,Africa-2,Burkina Faso
EU478503,0,3,1353,1350,2007,Africa-2_A1,Africa-2,Burkina Faso
EU478504,0,3,1353,1350,2007,Africa-2_A1,Africa-2,Burkina Faso
EU478505,0,3,1353,1350,2007,Africa-2_A1,Africa-2,Burkina Faso
EU478506,0,3,1353,1350,2007,Africa-2_A1,Africa-2,Burkina Faso
EU478507,0,3,1353,1350,2007,Africa-2_A1,Africa-2,Burkina Faso
EU478508,0,3,1353,1350,2007,Africa-2_A1,Africa-2,Burkina Faso
EU478509,0,3,1353,1350,2007,Africa-2_A1,Africa-2,Burkina Faso
EU478510,0,3,1353,1350,2007,Africa-2_A1,Africa-2,Burkina Faso
EU478511,0,3,1353,1350,2007,Africa-2_A1,Africa-2,Burkina Faso
EU478512,0,3,1353,1350,2007,Africa-2_A1,Africa-2,Burkina Faso
EU478513,0,3,1353,1350,2007,Africa-2_A1,Africa-2,Burkina Faso
EU478514,0,3,1353,1350,2007,Africa-2_A1,Africa-2,Burkina Faso
EU478515,0,3,1353,1350,2007,Africa-2_A1,Africa-2,Burkina Faso
EU478516,0,3,1353,1350,2007,Africa-2_A1,Africa-2,Burkina Faso
EU478517,0,3,1353,1350,2007,Africa-2_A1,Africa-2,Burkina Faso
EU478518,0,3,1353,1350,2007,Africa-2_A1.1,Africa-2,Burkina Faso
EU478519,0,3,1353,1350,2007,Africa-2_A1,Africa-2,Burkina Faso
EU478520,0,3,1353,1350,2007,Africa-2_A1,Africa-2,Burkina Faso
EU478521,0,3,1353,1350,2007,Africa-2_A1,Africa-2,Burkina Faso
EU478522,0,3,1353,1350,2007,Africa-2_A1,Africa-2,Burkina Faso
EU478523,0,3,1353,1350,2007,Africa-2_A1,Africa-2,Burkina Faso
EU478524,0,3,1353,1350,2007,Africa-2_A1,Africa-2,Burkina Faso
EU514571,0,3,1353,1350,2007,Africa-2_A1,Africa-2,Niger
EU514572,0,0,1353,1353,2007,Africa-2_A1,Africa-2,Niger
EU514573,0,3,1353,1350,2007,Africa-2_A1,Africa-2,Niger
EU514574,0,3,1353,1350,2007,Africa-2_A1,Africa-2,Niger
EU514575,0,3,1353,1350,2005,Africa-2_A1.2.1,Africa-2,Mauritania
EU514576,0,3,1353,1350,2005,Africa-2_A1.2.1,Africa-2,Mauritania
EU514577,0,0,1353,1353,2005,Africa-2_A1.2.1,Africa-2,Mauritania
EU514578,0,0,1353,1353,2006,Africa-2_A1.2.1,Africa-2,Mauritania
EU514579,0,0,1353,1353,2006,Africa-2_A1.2.1,Africa-2,Mauritania
EU514580,0,3,1353,1350,2006,Africa-2_A1.2.1,Africa-2,Mauritania
EU514581,0,3,1353,1350,2007,Africa-2_A1.2.1,Africa-2,Mauritania
EU718735,0,3,1353,1350,2006,Africa_A1,Africa-2,Chad
EU718736,0,3,1353,1350,2006,Africa_A1,Africa-2,Chad
EU718737,0,3,1353,1350,2006,Africa_A1,Africa-2,Chad
EU718738,0,3,1353,1350,2006,Africa_A1,Africa-2,Chad
EU718739,0,3,1353,1350,2006,Africa-2_A1.1,Africa-2,Chad
EU718740,0,3,1353,1350,2006,Africa-2_A1.1,Africa-2,Chad
EU718741,0,3,1353,1350,2006,Africa_A1,Africa-2,Chad
EU718742,0,3,1353,1350,2006,Africa-2_A1.1,Africa-2,Chad
EU718743,0,3,1353,1350,2006,Africa-2_A1.1,Africa-2,Chad
EU718744,0,3,1353,1350,2006,Africa-2_A1.1,Africa-2,Chad
EU718745,0,3,1353,1350,2006,Africa_A1,Africa-2,Chad
EU718746,0,3,1353,1350,2006,Africa-2_A1.1,Africa-2,Chad
EU718747,0,3,1353,1350,2006,Africa-2_A1.1,Africa-2,Chad
EU718748,0,3,1353,1350,2006,Africa-2_A1.1,Africa-2,Chad
EU718749,0,3,1353,1350,2006,Africa-2_A1.1,Africa-2,Chad
EU718750,0,3,1353,1350,2006,Africa-2_A1.1,Africa-2,Chad
EU718751,0,3,1353,1350,2006,Africa_A1,Africa-2,Chad
EU718752,0,3,1353,1350,2006,Africa-2_A1.1,Africa-2,Chad
EU718753,0,3,1353,1350,2006,Africa-2_A1.1,Africa-2,Chad
EU718754,0,3,1353,1350,2006,Africa-2_A1.1,Africa-2,Chad
EU718755,0,3,1353,1350,2006,Africa-2_A1.1,Africa-2,Chad
