Number	sequence.sequenceID	alignment.name	alignment.displayName	sequence.m49_country.id	sequence.m49_country.display_name	sequence.gb_place_sampled	sequence.collection_year	sequence.earliest_collection_year	sequence.latest_collection_year	sequence.gb_length	sequence.gb_create_date	sequence.gb_update_date	sequence.host	sequence.gb_pubmed_id	sequence.isolate	country_edit	Country_update	place_edit	place_update	Collection.year_edit	Collection.year_update	earliest.collection_edit	earliest.collection_update	latest.collection_edit	latest.collection_update	host_edit	host_update	host.common_edit	Lab_construct	Vaccine	pubmedID_edit	pubmed_update	
26	AF325485	AL_Africa-3	Africa-3	-	-	-	-	-	2001	2091	20-Aug-01	20-Aug-01	-	11483755	SAF1-MG	South Africa	filled in	-	unchanged	1987	filled in	1987	filled in	1987	updated	Herpestes	filled in	Mongoose	no	no	11483755	unchanged	Host just listed as 'mongoose'
34	AF467949	AL_Africa-3	Africa-3	ZAF	South Africa	-	-	-	2002	1353	07-Feb-02	07-Feb-02	-	-	-	South Africa	unchanged	-	unchanged	-	unchanged	-	unchanged	2002	unchanged	Viverridae	filled in	Viverrid	no	no	-	unchanged	From viverridae family, no further classification. No year. Unpublished
85	FJ392366	AL_Africa-3	Africa-3	ZAF	South Africa	-	1992	1992	1992	1353	31-Dec-09	03-May-10	-	20214938	19/92	South Africa	unchanged	Harrismith	filled in	1992	unchanged	1992	unchanged	1992	unchanged	Atilax paludinosus	filled in		no	no	20214938	unchanged	
107	U22628	AL_Africa-3	Africa-3	-	-	-	-	-	1995	1350	21-Jul-95	21-Jul-95	-	7778285	1500AFS	South Africa	filled in	-	unchanged	1987	filled in	1987	filled in	1987	updated	Cynictis penicillata	filled in		no	no	7778285	unchanged	Host listed as Yellow Mongoose
27	AF369295	AL_Africa-3	Africa-3	-	-	-	-	-	2001	920	21-May-01	03-Dec-09	African viverrid	12127791	V269.CV	Zimbabwe	filled in	-	unchanged	-	unchanged	-	unchanged	2001	unchanged	African viverrid	unchanged		no	no	12127791	unchanged	Year unknown, Civet
28	AF369298	AL_Africa-3	Africa-3	-	-	-	-	-	2001	920	21-May-01	03-Dec-09	African mongoose	12127791	V046.MG	South Africa	filled in	-	unchanged	1990	filled in	1990	filled in	1990	updated	African mongoose	unchanged		no	no	12127791	unchanged	Yellow mongoose
29	AF369301	AL_Africa-3	Africa-3	-	-	-	-	-	2001	920	21-May-01	03-Dec-09	African mongoose	12127791	V050.MG	South Africa	filled in	-	unchanged	1990	filled in	1990	filled in	1990	updated	African mongoose	unchanged		no	no	12127791	unchanged	Yellow mongoose
30	AF369302	AL_Africa-3	Africa-3	-	-	-	-	-	2001	920	21-May-01	03-Dec-09	African mongoose	12127791	V264.MG	South Africa	filled in	-	unchanged	1995	filled in	1995	filled in	1995	updated	African mongoose	unchanged		no	no	12127791	unchanged	
31	AF369304	AL_Africa-3	Africa-3	-	-	-	-	-	2001	920	21-May-01	03-Dec-09	African viverrid	12127791	V039.GT	Botswana	filled in	-	unchanged	1992	filled in	1992	filled in	1992	updated	Genetta genetta	updated		no	no	12127791	unchanged	Genet (Genetta)
33	AF369306	AL_Africa-3	Africa-3	-	-	-	-	-	2001	920	21-May-01	03-Dec-09	African viverrid	12127791	V619	South Africa	filled in	-	unchanged	2000	filled in	2000	filled in	2000	updated	Bos	updated	Bovine	no	no	12127791	unchanged	Bovine (Bos)
32	AF369305	AL_Africa-3	Africa-3	-	-	-	-	-	2001	908	21-May-01	03-Dec-09	African viverrid	12127791	V055	Botswana	filled in	-	unchanged	1992	filled in	1992	filled in	1992	updated	Homo sapiens	updated		no	no	12127791	unchanged	Human (Homo sapiens)
35	AF467950	AL_Africa-3	Africa-3	ZAF	South Africa	-	-	-	2002	894	07-Feb-02	07-Feb-02	-	-	-	South Africa	unchanged	-	unchanged	1990	filled in	1990	filled in	1990	updated	Cynictis penicillata	filled in		no	no	-	unchanged	Viverrid, year found in another paper (also states it as yellow mongoose)
106	JN899142	AL_Africa-3	Africa-3	ZAF	South Africa	-	1990	1990	1990	894	31-Dec-12	10-Jun-13	-	23718883	669/90	South Africa	unchanged	-	unchanged	1990	unchanged	1990	unchanged	1990	unchanged	Cynictis penicillata	filled in		no	no	23718883	unchanged	
12	AF079921	AL_Africa-3	Africa-3	-	-	-	-	-	1999	596	16-Jun-99	21-Mar-05	-	15763147	m420	South Africa	filled in	Wolmaranstad	filled in	1990	filled in	1990	filled in	1990	updated	Cynictis penicillata	filled in		no	no	15763147	unchanged	
46	AY354006	AL_Africa-3	Africa-3	-	-	-	-	-	2004	596	01-Aug-04	26-Jul-16	-	15763147	814/95	South Africa	filled in	Clocolan	filled in	1995	filled in	1995	filled in	1995	updated	Cynictis penicillata	filled in		no	no	15763147	unchanged	
8	AF079917	AL_Africa-3	Africa-3	-	-	-	-	-	1999	595	16-Jun-99	21-Mar-05	-	15763147	s485	South Africa	filled in	Standerton	filled in	1994	filled in	1994	filled in	1994	updated	Suricata suricatta	filled in		no	no	15763147	unchanged	
