recordID	sequenceID	alignment_name	alignment_displayName	m49_country.id	m49_country.display_name	gb_place_sampled	collection_year	earliest_collection_year	latest_collection_year	gb_length	gb_create_date	gb_update_date	host	gb_pubmed_id	isolate	country_edit	country_update	place_edit	place_update	collection_year_edit	collection_year_update	earliest_collection_edit	earliest_collection_update	latest_collection_edit	latest_collection_update	host_edit	host_update	host_common_edit	pubmedID_edit	pubmed_update
Number	sequence.sequenceID	alignment.name	alignment.displayName	sequence.m49_country.id	sequence.m49_country.display_name	sequence.gb_place_sampled	sequence.collection_year	sequence.earliest_collection_year	sequence.latest_collection_year	sequence.gb_length	sequence.gb_create_date	sequence.gb_update_date	sequence.host	sequence.gb_pubmed_id	sequence.isolate	country_edit	Country_update	place_edit	place_update	Collection.year_edit	Collection.year_update	earliest.collection_edit	earliest.collection_update	latest.collection_edit	latest.collection_update	host_edit	host_update	host.common_edit	pubmedID_edit	pubmed_update
87	LT909548	AL_Africa-2	Africa-2	-	-	-	-	-	2018	11922	29-Jan-18	29-Jan-18	-	-	13138	Nigeria	filled in	-	unchanged	1989	filled in	1989	filled in	1989	updated	Canis familiaris	filled in		29357361	filled in
1	AF325480	AL_Africa-2	Africa-2	-	-	-	-	-	2001	2091	20-Aug-01	20-Aug-01	-	11483755	NIG1-DG	Niger	filled in	-	unchanged	1990	filled in	1990	filled in	1990	updated	Canis familiaris	filled in		11483755	unchanged
3	AF325482	AL_Africa-2	Africa-2	-	-	-	-	-	2001	2091	20-Aug-01	20-Aug-01	-	11483755	IVC-UN	Ivory Coast	filled in	-	unchanged	1986	filled in	1986	filled in	1986	updated	Canis familiaris	filled in		11483755	unchanged
5	AF325484	AL_Africa-2	Africa-2	-	-	-	-	-	2001	2091	20-Aug-01	20-Aug-01	-	11483755	GUI1-DG	Guinea	filled in	-	unchanged	1986	filled in	1986	filled in	1986	updated	Canis familiaris	filled in		11483755	unchanged
2	AF325481	AL_Africa-2	Africa-2	-	-	-	-	-	2001	2090	20-Aug-01	20-Aug-01	-	11483755	CAM1-UN	Cameroon	filled in	-	unchanged	1988	filled in	1988	filled in	1988	updated	Unknown	filled in		11483755	unchanged
4	AF325483	AL_Africa-2	Africa-2	-	-	-	-	-	2001	2090	20-Aug-01	20-Aug-01	-	11483755	MAU1-CL	Mauritania	filled in	-	unchanged	1986	filled in	1986	filled in	1986	updated	Camelus	filled in	Camel	11483755	unchanged
83	EU827276	AL_Africa-2	Africa-2	BFA	Burkina Faso	-	2007	2007	2007	1575	12-Mar-09	12-Mar-09	-	19264663	144BF/2007	Burkina Faso	unchanged	-	unchanged	2007	unchanged	2007	unchanged	2007	unchanged	Canis familiaris	filled in		19264663	unchanged
84	EU827277	AL_Africa-2	Africa-2	NER	Niger	-	2007	2007	2007	1575	12-Mar-09	12-Mar-09	-	19264663	247NIG/2007	Niger	unchanged	-	unchanged	2007	unchanged	2007	unchanged	2007	unchanged	Canis familiaris	filled in		19264663	unchanged
13	EU514572	AL_Africa-2	Africa-2	NER	Niger	-	2007	2007	2007	1353	28-Feb-09	26-Jul-16	-	19264663	247NIG/07	Niger	unchanged	-	unchanged	2007	unchanged	2007	unchanged	2007	unchanged	Canis familiaris	filled in		19264663	unchanged
18	EU514577	AL_Africa-2	Africa-2	MRT	Mauritania	-	2005	2005	2005	1353	28-Feb-09	26-Jul-16	-	19264663	1923MAU/05	Mauritania	unchanged	-	unchanged	2005	unchanged	2005	unchanged	2005	unchanged	Canis familiaris	filled in		19264663	unchanged
19	EU514578	AL_Africa-2	Africa-2	MRT	Mauritania	-	2006	2006	2006	1353	28-Feb-09	26-Jul-16	-	19264663	1929MAU/06	Mauritania	unchanged	-	unchanged	2006	unchanged	2006	unchanged	2006	unchanged	Canis familiaris	filled in		19264663	unchanged
20	EU514579	AL_Africa-2	Africa-2	MRT	Mauritania	-	2006	2006	2006	1353	28-Feb-09	26-Jul-16	-	19264663	1941MAU/06	Mauritania	unchanged	-	unchanged	2006	unchanged	2006	unchanged	2006	unchanged	Canis familiaris	filled in		19264663	unchanged
85	EU853603	AL_Africa-2	Africa-2	-	-	-	-	-	2009	1353	23-Mar-09	23-Mar-09	-	19264663	07213MAL	Mali	filled in	-	unchanged	2007	filled in	2007	filled in	2007	updated	Canis familiaris	filled in		19264663	unchanged
12	EU514571	AL_Africa-2	Africa-2	NER	Niger	-	2007	2007	2007	1350	28-Feb-09	26-Jul-16	-	19264663	246NIG/07	Niger	unchanged	-	unchanged	2007	unchanged	2007	unchanged	2007	unchanged	Canis familiaris	filled in		19264663	unchanged
14	EU514573	AL_Africa-2	Africa-2	NER	Niger	-	2007	2007	2007	1350	28-Feb-09	26-Jul-16	-	19264663	251NIG/07	Niger	unchanged	-	unchanged	2007	unchanged	2007	unchanged	2007	unchanged	Canis familiaris	filled in		19264663	unchanged
15	EU514574	AL_Africa-2	Africa-2	NER	Niger	-	2007	2007	2007	1350	28-Feb-09	26-Jul-16	-	19264663	252NIG/07	Niger	unchanged	-	unchanged	2007	unchanged	2007	unchanged	2007	unchanged	Canis familiaris	filled in		19264663	unchanged
16	EU514575	AL_Africa-2	Africa-2	MRT	Mauritania	-	2005	2005	2005	1350	28-Feb-09	26-Jul-16	-	19264663	1920MAU/05	Mauritania	unchanged	-	unchanged	2005	unchanged	2005	unchanged	2005	unchanged	Canis familiaris	filled in		19264663	unchanged
17	EU514576	AL_Africa-2	Africa-2	MRT	Mauritania	-	2005	2005	2005	1350	28-Feb-09	26-Jul-16	-	19264663	1922MAU/05	Mauritania	unchanged	-	unchanged	2005	unchanged	2005	unchanged	2005	unchanged	Canis familiaris	filled in		19264663	unchanged
21	EU514580	AL_Africa-2	Africa-2	MRT	Mauritania	-	2006	2006	2006	1350	28-Feb-09	26-Jul-16	-	19264663	2019MAU/06	Mauritania	unchanged	-	unchanged	2006	unchanged	2006	unchanged	2006	unchanged	Canis familiaris	filled in		19264663	unchanged
