recordID	sequenceID	alignment_name	alignment_displayName	m49_country.id	m49_country.display_name	gb_place_sampled	collection_year	earliest_collection_year	latest_collection_year	gb_length	gb_create_date	gb_update_date	host	gb_pubmed_id	isolate	country_edit	country_update	place_edit	place_update	collection_year_edit	collection_year_update	earliest_collection_edit	earliest_collection_update	latest_collection_edit	latest_collection_update	host_edit	host_update	host_common_edit	Lab_construct	Vaccine	pubmedID_edit	pubmed_update	Notes
1	AB070759	AL_Asian_SEA4	Asian SEA4	-	-	-	-	-	2001	543	02-Oct-01	26-Jul-16	-	12153119	Phi123-01	Philippines	filled in	-	unchanged	-	unchanged	-	unchanged	2001	unchanged	Canis lupus familiaris	filled in		no	no	12153119	unchanged	Luzon or Visayas, not explicitly stated but inferred from text
2	AB070760	AL_Asian_SEA4	Asian SEA4	-	-	-	-	-	2001	543	02-Oct-01	26-Jul-16	-	12153119	Phi124-02	Philippines	filled in	-	unchanged	-	unchanged	-	unchanged	2001	unchanged	Canis lupus familiaris	filled in		no	no	12153119	unchanged	Luzon or Visayas, not explicitly stated but inferred from text
3	AB070761	AL_Asian_SEA4	Asian SEA4	-	-	-	-	-	2001	543	02-Oct-01	26-Jul-16	-	12153119	Phi127-03	Philippines	filled in	-	unchanged	-	unchanged	-	unchanged	2001	unchanged	Canis lupus familiaris	filled in		no	no	12153119	unchanged	Luzon or Visayas, not explicitly stated but inferred from text
4	AB070762	AL_Asian_SEA4	Asian SEA4	-	-	-	-	-	2001	543	02-Oct-01	26-Jul-16	-	12153119	Phi129-04	Philippines	filled in	-	unchanged	-	unchanged	-	unchanged	2001	unchanged	Canis lupus familiaris	filled in		no	no	12153119	unchanged	Luzon or Visayas, not explicitly stated but inferred from text
5	AB070763	AL_Asian_SEA4	Asian SEA4	-	-	-	-	-	2001	543	02-Oct-01	26-Jul-16	-	12153119	Phi131-05	Philippines	filled in	-	unchanged	-	unchanged	-	unchanged	2001	unchanged	Canis lupus familiaris	filled in		no	no	12153119	unchanged	Luzon or Visayas, not explicitly stated but inferred from text
6	AB070764	AL_Asian_SEA4	Asian SEA4	-	-	-	-	-	2001	543	02-Oct-01	26-Jul-16	-	12153119	Phi134-06	Philippines	filled in	-	unchanged	-	unchanged	-	unchanged	2001	unchanged	Canis lupus familiaris	filled in		no	no	12153119	unchanged	Luzon or Visayas, not explicitly stated but inferred from text
7	AB070765	AL_Asian_SEA4	Asian SEA4	-	-	-	-	-	2001	543	02-Oct-01	26-Jul-16	-	12153119	Phi135-07	Philippines	filled in	-	unchanged	-	unchanged	-	unchanged	2001	unchanged	Canis lupus familiaris	filled in		no	no	12153119	unchanged	Luzon or Visayas, not explicitly stated but inferred from text
8	AB070766	AL_Asian_SEA4	Asian SEA4	-	-	-	-	-	2001	543	02-Oct-01	26-Jul-16	-	12153119	Phi136-08	Philippines	filled in	-	unchanged	-	unchanged	-	unchanged	2001	unchanged	Canis lupus familiaris	filled in		no	no	12153119	unchanged	Luzon or Visayas, not explicitly stated but inferred from text
9	AB070767	AL_Asian_SEA4	Asian SEA4	-	-	-	-	-	2001	543	02-Oct-01	26-Jul-16	-	12153119	Phi137-09	Philippines	filled in	-	unchanged	-	unchanged	-	unchanged	2001	unchanged	Canis lupus familiaris	filled in		no	no	12153119	unchanged	Luzon or Visayas, not explicitly stated but inferred from text
10	AB070768	AL_Asian_SEA4	Asian SEA4	-	-	-	-	-	2001	543	02-Oct-01	26-Jul-16	-	12153119	Phi140-10	Philippines	filled in	-	unchanged	-	unchanged	-	unchanged	2001	unchanged	Canis lupus familiaris	filled in		no	no	12153119	unchanged	Luzon or Visayas, not explicitly stated but inferred from text
