recordID	sequenceID	alignment_name	alignment_displayName	m49_country.id	m49_country.display_name	gb_place_sampled	collection_year	earliest_collection_year	latest_collection_year	gb_length	gb_create_date	gb_update_date	host	gb_pubmed_id	isolate	country_edit	country_update	place_edit	place_update	collection_year_edit	collection_year_update	earliest_collection_edit	earliest_collection_update	latest_collection_edit	latest_collection_update	host_edit	host_update	host_common_edit	Lab_construct	Vaccine	pubmedID_edit	pubmed_update	Notes
122	FJ959397	AL_Asian_SEA2a	Asian SEA2a	CHN	China	Zibo, Shandong Province	1956	1956	1956	11925	31-May-09	30-Jun-15	-	20572340	CTN-1	China	unchanged	Zibo, Shandong Province	unchanged	1956	unchanged	1956	unchanged	1956	unchanged	Homo sapiens	filled in		no	yes	20572340	unchanged	Vaccine strain for human use
225	KJ466147	AL_Asian_SEA2a	Asian SEA2a	CHN	China	Shenzhen, Guangdong Province	-	-	2014	11924	26-May-14	26-May-14	-	24885666	CTNCEC25	China	unchanged	Shenzhen, Guangdong Province	unchanged	-	unchanged	-	unchanged	2014	unchanged	-	unchanged		yes	yes	24885666	unchanged	Lab altered vaccine strain
226	KU946961	AL_Asian_SEA2a	Asian SEA2a	CHN	China	-	2009	2009	2009	11924	18-Apr-16	18-Apr-16	-	-	CTN181-3	China	unchanged	-	unchanged	2009	unchanged	2009	unchanged	2009	unchanged	-	unchanged		no	yes	-	unchanged	Vaccine from name (CTN)
98	EF564174	AL_Asian_SEA2a	Asian SEA2a	CHN	China	Shandong Province	1956	1956	1956	11923	29-Feb-08	02-Jun-09	-	-	CTN181	China	unchanged	Shandong Province	unchanged	1956	unchanged	1956	unchanged	1956	unchanged	Homo sapiens	filled in		no	yes	-	unchanged	Says 'patient', probably human. Could be vaccine
119	EU643590	AL_Asian_SEA2a	Asian SEA2a	CHN	China	Hunan Province	2006	2006	2006	11923	25-May-09	25-May-09	-	19463716	HN10	China	unchanged	Hunan Province	unchanged	2006	unchanged	2006	unchanged	2006	unchanged	Homo sapiens	filled in		no	no	19463716	unchanged	Patient'
223	JX088694	AL_Asian_SEA2a	Asian SEA2a	CHN	China	-	-	-	2012	11923	08-Aug-12	23-Oct-12	Sus scrofa	23087116	GD-SH-01	China	unchanged	-	unchanged	-	unchanged	-	unchanged	2012	unchanged	Sus scrofa	unchanged		no	no	23087116	unchanged	
10	AB428309	AL_Asian_SEA2a	Asian SEA2a	CHN	China	Guangxi	2005	2005	2005	1575	02-Dec-09	02-Dec-09	-	-	CHpg3	China	unchanged	Guangxi	unchanged	2005	unchanged	2005	unchanged	2005	unchanged	Sus	filled in	Pig	no	no	-	unchanged	
11	AB428310	AL_Asian_SEA2a	Asian SEA2a	CHN	China	Guangxi	2004	2004	2004	1575	02-Dec-09	02-Dec-09	-	-	CHdg4	China	unchanged	Guangxi	unchanged	2004	unchanged	2004	unchanged	2004	unchanged	Canis lupus familiaris	filled in		no	no	-	unchanged	
12	AB428311	AL_Asian_SEA2a	Asian SEA2a	CHN	China	Guangxi	2005	2005	2005	1575	02-Dec-09	02-Dec-09	-	-	CHdg5	China	unchanged	Guangxi	unchanged	2005	unchanged	2005	unchanged	2005	unchanged	Canis lupus familiaris	filled in		no	no	-	unchanged	
13	AB428313	AL_Asian_SEA2a	Asian SEA2a	CHN	China	Guangxi	2004	2004	2004	1575	02-Dec-09	02-Dec-09	-	-	CHbv7	China	unchanged	Guangxi	unchanged	2004	unchanged	2004	unchanged	2004	unchanged	Canis lupus familiaris	filled in		no	no	-	unchanged	
14	AB428314	AL_Asian_SEA2a	Asian SEA2a	CHN	China	Guangxi	2003	2003	2003	1575	02-Dec-09	02-Dec-09	-	-	CHdg8	China	unchanged	Guangxi	unchanged	2003	unchanged	2003	unchanged	2003	unchanged	Canis lupus familiaris	filled in		no	no	-	unchanged	
15	AB428315	AL_Asian_SEA2a	Asian SEA2a	CHN	China	Guangxi	2005	2005	2005	1575	02-Dec-09	02-Dec-09	-	-	CHbv9	China	unchanged	Guangxi	unchanged	2005	unchanged	2005	unchanged	2005	unchanged	Bos	filled in	Cattle	no	no	-	unchanged	
16	AB428316	AL_Asian_SEA2a	Asian SEA2a	CHN	China	Guangxi	2005	2005	2005	1575	02-Dec-09	02-Dec-09	-	-	CHdg10	China	unchanged	Guangxi	unchanged	2005	unchanged	2005	unchanged	2005	unchanged	Canis lupus familiaris	filled in		no	no	-	unchanged	
46	AY009100	AL_Asian_SEA2a	Asian SEA2a	CHN	China	Shandong Province	-	-	2000	1575	03-Dec-00	01-Jan-00	-	-	CTN	China	unchanged	Shandong Province	unchanged	1956	filled in	1956	filled in	1956	updated	Homo sapiens	filled in		no	yes	-	unchanged	Could be vaccine? Same ID as above. Found by googling
55	DQ767890	AL_Asian_SEA2a	Asian SEA2a	-	-	-	-	-	2006	1575	26-Jul-06	01-Dec-08	-	-	CTN-7	China	filled in	-	unchanged	-	unchanged	-	unchanged	2006	unchanged	-	unchanged		no	yes	-	unchanged	Vaccine
56	DQ767891	AL_Asian_SEA2a	Asian SEA2a	-	-	-	-	-	2006	1575	26-Jul-06	01-Dec-08	-	-	CTN-26	China	filled in	-	unchanged	-	unchanged	-	unchanged	2006	unchanged	-	unchanged		no	yes	-	unchanged	From name (CTN) - vaccine
57	DQ767892	AL_Asian_SEA2a	Asian SEA2a	-	-	-	-	-	2006	1575	26-Jul-06	01-Dec-08	-	-	CTN-27	China	filled in	-	unchanged	-	unchanged	-	unchanged	2006	unchanged	-	unchanged		no	yes	-	unchanged	From name (CTN) - vaccine
58	DQ767893	AL_Asian_SEA2a	Asian SEA2a	-	-	-	-	-	2006	1575	26-Jul-06	01-Dec-08	-	-	CTN-28	China	filled in	-	unchanged	-	unchanged	-	unchanged	2006	unchanged	-	unchanged		no	yes	-	unchanged	From name (CTN) - vaccine
59	DQ767894	AL_Asian_SEA2a	Asian SEA2a	-	-	-	-	-	2006	1575	26-Jul-06	01-Dec-08	-	-	CTN-29	China	filled in	-	unchanged	-	unchanged	-	unchanged	2006	unchanged	-	unchanged		no	yes	-	unchanged	From name (CTN) - vaccine
60	DQ767895	AL_Asian_SEA2a	Asian SEA2a	-	-	-	-	-	2006	1575	26-Jul-06	01-Dec-08	-	-	CTN-30	China	filled in	-	unchanged	-	unchanged	-	unchanged	2006	unchanged	-	unchanged		no	yes	-	unchanged	From name (CTN) - vaccine
61	DQ767896	AL_Asian_SEA2a	Asian SEA2a	-	-	-	-	-	2006	1575	26-Jul-06	01-Dec-08	-	-	CTN-33	China	filled in	-	unchanged	-	unchanged	-	unchanged	2006	unchanged	-	unchanged		no	yes	-	unchanged	From name (CTN) - vaccine
62	DQ767897	AL_Asian_SEA2a	Asian SEA2a	-	-	-	-	-	2006	1575	26-Jul-06	01-Dec-08	-	-	CTN-35	China	filled in	-	unchanged	-	unchanged	-	unchanged	2006	unchanged	-	unchanged		no	yes	-	unchanged	From name (CTN) - vaccine
117	EU267746	AL_Asian_SEA2a	Asian SEA2a	CHN	China	-	-	-	2008	1575	07-Dec-08	05-Jan-09	Canis familiaris	19041424	Guizhou Al01	China	unchanged	Guizhou	filled in	-	unchanged	-	unchanged	2008	unchanged	Canis familiaris	unchanged		no	no	19041424	unchanged	
118	EU267747	AL_Asian_SEA2a	Asian SEA2a	CHN	China	-	-	-	2008	1575	07-Dec-08	05-Jan-09	Canis familiaris	19041424	Guizhou Al03	China	unchanged	Guizhou	filled in	-	unchanged	-	unchanged	2008	unchanged	Canis familiaris	unchanged		no	no	19041424	unchanged	
227	L04523	AL_Asian_SEA2a	Asian SEA2a	-	-	-	-	-	1993	1575	03-Aug-93	04-Mar-93	-	8460524	Chinese street strain CGX89-1	China	filled in	Guangxi	filled in	1989	filled in	1989	filled in	1989	updated	Canis lupus familiaris	filled in		no	no	8460524	unchanged	
224	KC792061	AL_Asian_SEA2a	Asian SEA2a	CHN	China	-	-	-	2013	1572	18-Jun-13	18-Jun-13	Canis familiaris	-	A12_0859	China	unchanged	-	unchanged	-	unchanged	-	unchanged	2013	unchanged	Canis familiaris	unchanged		no	no	-	unchanged	
